name,nid,freebase_id,country_of_origin,region,source_of_milk,category,pasteurized,aging_time,certification,texture,farm_company,cheesemaker,rennet,affineur,rind
Mottin charentais,19315,/m/02qjl6f,France,,,"cheese, dairy",,,,,,,,,
Romano cheese,19316,/m/04tyk6,Italy,,,"cheese, dairy",,,,,,,,,
Affidelice au Chablis,19317,/m/04p55hr,France,Burgundy,Cow,"Cow milk, cheese, dairy",,,,Soft,,,,,
Beyaz peynir,19318,/m/0463_qk,,,,"cheese, dairy",,,,,,,,,
Le Brin,19319,/m/04dm3wh,,,,"cheese, dairy",,,,,,,,,
Tillamook Cheddar,19320,/m/0gqlvm,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Édel de Cléron,19321,/m/04g1s6y,,,,"cheese, dairy",,,,,,,,,
Pinconning cheese,19322,/m/066dh,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Mozzarella,19323,/m/055w7,Italy,,"Cow,Water Buffalo","Cow,Water Buffalo milk, cheese, dairy",,,,semi-soft,,,,,
Brillat-Savarin cheese,19324,/m/0c4rn,France,Normandy,Cow,"Cow milk, cheese, dairy",,,,Triple cream,,,,,
Casu marzu,19325,/m/0c4q2,Italy,Sardinia,Domestic sheep,"Domestic sheep milk, cheese, dairy",No,3 mo.,,Soft,,,,,
Paneer,518,/m/03r1s9,India,,,"cheese, dairy",,,,,,,,,
Big Woods Blue,19327,/m/02h8bmn,United States of America,Minnesota,Domestic sheep,"Domestic sheep milk, cheese, dairy",no,3 to 4 months,,semi-firm,,,,,
Brine cheese,19328,/m/03cstxl,,,,"cheese, dairy",,,,,,,,,
Cathare,19329,/m/02p1rds,France,,,"cheese, dairy",,,,,,,,,
Añejo Enchilado cheese,19330,/m/0db_wk,,,,"cheese, dairy",,,,,,,,,
La Tur,19331,/m/047jf32,,Piedmont,,"cheese, dairy",,,,,,,,,
Gouda,19332,/m/012mpq,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Testouri cheese,19333,/m/0c88by,,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Queijo coalho,19334,/m/095ss2,Brazil,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Rocamadour,19335,/m/09cqnl,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Swaledale,19336,/m/057syhl,England,,,"cheese, dairy",,,,,,,,,
Danbo cheese,19337,/m/0d73ym,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Parrano cheese,19338,/m/026p89t,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Le Riopelle de l'Isle,19339,/m/073p9_,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Taleggio cheese,19340,/m/04htn_,Italy,Val Taleggio,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Crozier Blue,19341,/m/04091f2,Republic of Ireland,,,"cheese, dairy",,,,,,,,,
Rosa Camuna,4874,/m/04zx38w,Italy,,,"cheese, dairy",,,,,,,,,
Passendale cheese,19343,/m/04y5m9b,Belgium,,,"cheese, dairy",,,,,,,,,
Monterey Jack,19344,/m/01f76t,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Sir Laurier d'Arthabaska,19345,/m/02rtgqx,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Asiago cheese,19346,/m/02k5rl,,Asiago,Cow,"Cow milk, cheese, dairy",no,6 months,,hard,,,,,
Coquetdale cheese,19347,/m/06zpk_8,,,,"cheese, dairy",,,,,,,,,
Tylzycki,19348,/m/02z6463,Poland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Dragons Breath,19349,/m/026kgyz,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Milleens,19350,/m/051ysvn,Republic of Ireland,,,"cheese, dairy",,,,,,,,,
Kraft Singles,19351,/m/0469sb,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Caciotta,6899,/m/025wx5_,Italy,,"Cow,Water Buffalo,Domestic sheep,Domestic goat","Cow,Water Buffalo,Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
Prästost,19353,/m/0c0hfm,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Schabziger,19354,/m/0d26j0,Switzerland,Canton of Glarus,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Tête de Moine,19355,/m/02ptzyb,Switzerland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Black Gold,19356,/m/02h97hf,United States of America,Mendocino,Domestic goat,"Domestic goat milk, cheese, dairy",yes,2 to 3 weeks,,Soft,Elk Creamery,,traditional,,bloomy
Hoop cheese,19357,/m/03fr6k,United States of America,,,"cheese, dairy",,,,,,,,,
Bryndza Podhalańska,19358,/m/03hhhtx,Poland,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Beaufort Alpage,19359,/m/02h89z7,France,Savoie,Cow,"Cow milk, cheese, dairy",no,18 months,,hard,,,,,
Reblochon,4670,/m/037brh,"Italy,France",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Crescenza,7472,/m/02729_5,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kefir cheese,19362,/m/06zsf3z,,,,"cheese, dairy",,,,,,,,,
Chaource,19363,/m/0598wd,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Sour milk cheese,19364,/m/04n5t3,,,,"cheese, dairy",,,,,,,,,
Old amsterdam cheese,19365,/m/064q554,,,,"cheese, dairy",,,,,,,,,
Dovedale cheese,19366,/m/0520m9k,England,,,"cheese, dairy",,,,,,,,,
Kenafa cheese,19367,/m/0c8904,,,,"cheese, dairy",,,,,,,,,
Flower of Rajya,19368,/m/03nr768,,,,"cheese, dairy",,,,,,,,,
Gubbeen cheese,19369,/m/06q196,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
São Jorge cheese,19370,/m/064n52z,Portugal,São Jorge Island,Cow,"Cow milk, cheese, dairy",,,Protected designation of origin,hard,,,,,
Sirene,19371,/m/0623yv,Bulgaria,,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Bergenost,19372,/m/03c8wnm,,,,"cheese, dairy",,,,,,,,,
Anari,19373,/m/0280w9z,,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Añejo cheese,19374,/m/0db_tf,Mexico,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Petit Soumaintrain,19375,/m/04dm3y3,,,,"cheese, dairy",,,,,,,,,
Piave cheese,19376,/m/09073y,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bleu du Vercors-Sassenage,19377,/m/027b4yn,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Lancashire cheese,19378,/m/028mtf,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Blanca Bianca,19379,/m/02h8c2n,United States of America,Dallas,Cow,"Cow milk, cheese, dairy",no,60 days,,Soft,,,,,Washed
Tomme de Savoie,19380,/m/017kfv,France,Savoie,Cow,"Cow milk, cheese, dairy",,,,semi-firm,,,,,
Ġbejna,19381,/m/026v701,,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Prypiat Cheese,19382,/m/04n2vcg,Ukraine,,"Domestic goat,Cow","Domestic goat,Cow milk, cheese, dairy",,,,,,,,,
Humboldt Fog,8659,/m/057m1q,United States of America,Humboldt County,Domestic goat,"Domestic goat milk, cheese, dairy",yes,three weeks,,Soft,,,,,
Vieux-Boulogne,19384,/m/05c6dr,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Sage Derby cheese,19385,/m/0cw0p0,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kavli,19386,/m/02wynyf,Norway,,,"cheese, dairy",,,,,,,,,
Alderbrook,19387,/m/02h88_s,United States of America,Vermont,Domestic sheep,"Domestic sheep milk, cheese, dairy",yes,3 to 4 weeks,,Soft,,,,,
Dubliner cheese,19388,/m/06q0p2,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Etorki,19389,/m/03d5gdx,France,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Brânză topită,19390,/m/02q3lwt,,,,"cheese, dairy",,,,,,,,,
Pierce Pt,19391,/m/02h82kq,United States of America,Marin County,Cow,"Cow milk, cheese, dairy",,,,semi-firm,,,,,
Tomme des Pyrenees,19392,/m/03grnpf,France,,,"cheese, dairy",,,,,,,,,
Gevrik,19393,/m/02vkzys,,,,"cheese, dairy",,,,,,,,,
Ami du Chambertin,19394,/m/04dm3sq,,,,"cheese, dairy",,,,,,,,,
Duberry cheese,19395,/m/0b_my9,England,,,"cheese, dairy",,,,Crumbly,,,,,
Metsovone cheese,19396,/m/08f8n6,Greece,,"Domestic goat,Cow,Domestic sheep","Domestic goat,Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Le douanier,19397,/m/05zszct,Canada,,,"cheese, dairy",,,,,,,,,
String cheese,19398,/m/01lzty,United States of America,,,"cheese, dairy",,,,,,,,,
Andari cheese,19399,/m/01xxs3y,,,,"cheese, dairy",,,,,,,,,
Geitost,19400,/m/01lfpj,Norway,,,"cheese, dairy",,,,,,,,,
Syrian cheese,19401,/m/069jw7,,,,"cheese, dairy",,,,,,,,,
Alouette,19402,/m/02rj368,United States of America,,,"cheese, dairy",,,,,,,,,
Chabichou,19403,/m/025x8hb,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Dorset Blue Vinney cheese,19404,/m/0f0xy,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Esrom,7888,/m/0cpj5f,Denmark,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Greve cheese,19406,/m/0d6j2p,Sweden,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Coleraine cheddar,19407,/m/0bvlpq,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Ardrahan cheese,19408,/m/06q125,Republic of Ireland,County Cork,Cow,"Cow milk, cheese, dairy",yes,8 to 16 weeks,,semi-soft,,,,,
Mankwold,19409,/m/06w1vk,England,,,"cheese, dairy",,,,,,,,,
Chèvre cheese,19410,/m/029756,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Monte Veronese,3778,/m/0fx55s,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Huntsman cheese,19412,/m/06mh0x,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Brînza,19413,/m/08q3cb,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Camembert,19414,/m/02dg27,France,Camembert,Cow,"Cow milk, cheese, dairy",Not normally,at least 3 weeks,,Soft-ripened,,,,,
Norbury blue,19415,/m/03c0_vn,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pasta filata,19416,/m/02px__9,Italy,,,"cheese, dairy",,,,,,,,,
Casciotta d'Urbino,19417,/m/02v_w5y,Italy,,"Cow,Domestic sheep","Cow,Domestic sheep milk, cheese, dairy",,,,,,,,,
Morlacco,3798,/m/0fx5v4,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cheshire cheese,19419,/m/01s8gz,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pecorino Sardo,4263,/m/0ccd24,Italy,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Fontina,8056,/m/083rwm,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Xynotyro cheese,19422,/m/08thk7,Greece,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Corleggy,19423,/m/0f_5x8,Republic of Ireland,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Mascarpone,452,/m/01sy7q,"Italy,Republic of Ireland",,Cow,"Cow milk, cheese, dairy",,,,Triple cream,,,,,
Red Hawk,19425,/m/026zczj,United States of America,Point Reyes Station,Cow,"Cow milk, cheese, dairy",,six weeks,,"washed-rind,Triple cream",,,,,
Harzer,19426,/m/04n5wk,Germany,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bassigny au Porto,19427,/m/04dm3t0,,,,"cheese, dairy",,,,,,,,,
Provel cheese,19428,/m/03hkj8,United States of America,,,"cheese, dairy",,,,,,,,,
Maroilles,3587,/m/02vnzpz,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Berkswell,19430,/m/02h8bgl,England,Berkswell,Domestic sheep,"Domestic sheep milk, cheese, dairy",no,6 to 9 months,,hard,,,,,
Sweet Muenster Cheese,19431,/m/026gsjm,United States of America,,,"cheese, dairy",,,,,,,,,
Laguiole,19432,/m/09fvf7,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Crucolo,7504,/m/027q27q,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Primost,19434,/m/02vr2lf,,,,"cheese, dairy",,,,,,,,,
Saint Paulin,19435,/m/0dfrrr,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Colby-Jack cheese,19436,/m/0d2lr_,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Caerphilly cheese,19437,/m/01pl1k,Wales,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Vacherin,5921,/m/01z65z,"France,Switzerland",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Tetilla,19439,/m/0d3ftm,Spain,,,"cheese, dairy",,,,,,,,,
Saint-Marcellin,19440,/m/09mbl6,France,,Cow,"Cow milk, cheese, dairy",,,,Soft,,,,,
Rigotte de Condrieu,19441,/m/0b2db_,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Dairylea,19442,/m/02z2rr7,,,,"cheese, dairy",,,,,,,,,
Afuega'l pitu,19443,/m/02q4y4v,Spain,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Couronne Lochoise,19444,/m/02vv6k1,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Bleu de Gex,19445,/m/027b2gw,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Mahón cheese,19446,/m/027vsfw,Spain,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Quark,567,/m/02kgf7,"Poland,Germany",,,"cheese, dairy",,,,,,,,,
Chevington cheese,19448,/m/02hjlm,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bayley Hazen Blue,19449,/m/02h89vl,United States of America,Greensboro,Cow,"Cow milk, cheese, dairy",yes,3 to 4 months,,semi-firm,,,,,
Teleme cheese,19450,/m/02rjvtk,,,,"cheese, dairy",,,,,,,,,
Crottin de Chavignol,19451,/m/06kjyg,France,Loire Valley,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Cooleeney,19452,/m/06q14z,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cambozola,6940,/m/04txdh,Germany,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Cup cheese,19454,/m/03nq7zh,,,,"cheese, dairy",,,,,,,,,
Rauchkäse,19455,/m/02r5wdt,,,,"cheese, dairy",,,,,,,,,
Processed cheese,19456,/m/02kg_6,United States of America,,,"cheese, dairy",,,,,,,,,
Leipäjuusto,19457,/m/0376kx,Finland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Mató cheese,19458,/m/0kw1g,Spain,,"Domestic goat,Cow","Domestic goat,Cow milk, cheese, dairy",,,,,,,,,
Brie,19459,/m/01482f,France,Brie,Cow,"Cow milk, cheese, dairy",,at least 4 weeks,,Soft-ripened,,,,,
Banon,19460,/m/078_tb,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,Soft-ripened,,,,,
Guyanés cheese,19461,/m/0gl_j2,,,,"cheese, dairy",,,,,,,,,
Muenster cheese,19462,/m/097ybm,United States of America,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Tibetan cheese,19463,/m/03nn77_,,,,"cheese, dairy",,,,,,,,,
Tomme d'Alsace,19464,/m/04dm3yk,,,,"cheese, dairy",,,,,,,,,
Garrotxa cheese,19465,/m/0dtnyx,Spain,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Saint-André cheese,19466,/m/04x0pp,France,,Cow,"Cow milk, cheese, dairy",,,,Soft,,,,,
Bleu des Causses,19467,/m/0d_m5x,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Castelo Branco cheese,19468,/m/0bmh9j,,,"Domestic sheep,Domestic goat","Domestic sheep,Domestic goat milk, cheese, dairy",,,,,,,,,
dsafdafda,19469,/m/0h81b13,,,,"cheese, dairy",,,,,,,,,
Pecorino Siciliano,4264,/m/02x0nwz,Italy,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Provolone,9931,/m/026pc21,Italy,,Cow,"Cow milk, cheese, dairy",,,,semi-hard,,,,,
Tintern,19472,/m/026swpc,Wales,,,"cheese, dairy",,,,,,,,,
Dolcelatte,7656,/m/0644kz,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pecorino Romano,9871,/m/068kk,Italy,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,hard,,,,,
Stracciatella di Bufala,19475,/m/025wxxc,Italy,,Water Buffalo,"Water Buffalo milk, cheese, dairy",,,,,,,,,
Saint Agur Blue,19476,/m/0260xrb,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Oltermanni,19477,/m/02z3pwg,Finland,,,"cheese, dairy",,,,,,,,,
Mizithra cheese,19478,/m/0260rk,Greece,,"Domestic goat,Domestic sheep","Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Reggianito,19479,/m/0gbrgj,Argentina,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Pélardon,19480,/m/04g2sxj,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Barbara Gilmour,19481,/m/04ybqv2,Scotland,,,"cheese, dairy",,,,,,,,,
Kernhem,19482,/m/04dm3wb,,,,"cheese, dairy",,,,,,,,,
Rushan,19483,/m/03mh_6q,,,,"cheese, dairy",,,,,,,,,
Fromager d'Affinois,19484,/m/03d5rd3,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Bijou,19485,/m/02h8bpx,United States of America,Vermont,Domestic goat,"Domestic goat milk, cheese, dairy",yes,2 weeks,,,,,,,
Beer cheese,19486,/m/0g8pw3,,,,"cheese, dairy",,,,,,,,,
Shropshire Blue cheese,19487,/m/0dt4v4,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Basket cheese,19488,/m/08p_0h,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Neufchâtel,19489,/m/0597nk,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Feta,19490,/m/01pk_6,Greece,,"Cow,Domestic goat,Domestic sheep","Cow,Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Tenshi Cheese,19491,/m/01xxs3s,,,,"cheese, dairy",,,,,,,,,
Aura,19492,/m/06f171,Finland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kefalograviera,19493,/m/07j5l0,Greece,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Scamorza cheese,19494,/m/0h6cn5,Italy,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Grana Padano cheese,19495,/m/08bgdn,Italy,,Cow,"Cow milk, cheese, dairy",,,Denominazione di Origine Controllata,,,,,,
Ossau-Iraty,19496,/m/0cnc7r,France,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Bucheron,19497,/m/0c_8bw,France,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Carré de l'Est,19498,/m/0bd4s2,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Strained yoghurt,19499,/m/02vklym,,,"Cow,Domestic goat,Domestic sheep","Cow,Domestic goat,Domestic sheep milk, cheese, dairy",,,,,,,,,
Saloio,19500,/m/029n5b,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Urdă,19501,/m/08pzr5,Romania,,,"cheese, dairy",,,,,,,,,
Limburger cheese,19502,/m/0f0xk,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Burrata,6865,/m/04hmk8,Italy,,"Water Buffalo,Cow","Water Buffalo,Cow milk, cheese, dairy",,,,,,,,,
Murol,19504,/m/04dm3xn,,,,"cheese, dairy",,,,,,,,,
Le Gré des Champs,19505,/m/02rth83,Canada,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Appenzeller,19506,/m/03h57n,Switzerland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Tomme cheese,19507,/m/017kjc,France,,,"cheese, dairy",,,,,,,,,
Durrus Cheese,7763,/m/06q15_,Republic of Ireland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Shanklish,19509,/m/087gjw,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Beenleigh Blue,19510,/m/02h8b66,England,Devon,Domestic sheep,"Domestic sheep milk, cheese, dairy",yes,4 to 9 months,,semi-soft,,,,,
Pot cheese,19511,/m/02vk8yd,,,,"cheese, dairy",,,,,,,,,
Caşcaval,19512,/m/08pzvn,Romania,,,"cheese, dairy",,,,,,,,,
Leicester cheese,19513,/m/01x58w,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Roncal cheese,19514,/m/03cnfh9,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Bonchester cheese,19515,/m/028b_0n,Scotland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Caprino,6998,/m/03c6gsq,Italy,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Coulommiers,7435,/m/026_t8p,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Fourme d'Ambert,19518,/m/027b7v6,France,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Roomano,19519,/m/08gbsm,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Kadchgall,19520,/m/047p7m8,,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Spinnenkäse,19521,/m/04n3z5,Germany,,,"cheese, dairy",,,,,,,,,
Dutch Cheese Markets,19522,/m/02jrrn,Netherlands,,,"cheese, dairy",,,,,,,,,
Benedictine,9355,/m/02h8b9t,United States of America,Wisconsin,"Domestic goat,Cow,Domestic sheep","Domestic goat,Cow,Domestic sheep milk, cheese, dairy",yes,4 months,,semi-firm,,,,,
Wedginald,19524,/m/03czy08,,,,"cheese, dairy",,,,,,,,,
Bermuda Triangle,19525,/m/02h8bj2,United States of America,McKinleyville,Domestic goat,"Domestic goat milk, cheese, dairy",yes,2 weeks,,semi-soft,,,,,
Sbrinz,19526,/m/03h59w,Switzerland,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Harbourne Blue,19527,/m/02ptzk_,England,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Bouq Émissaire,19528,/m/0275fvq,Canada,,Domestic goat,"Domestic goat milk, cheese, dairy",,,,,,,,,
Lincolnshire Poacher,19529,/m/0dt9c5,England,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Mozzarella di Bufala Campana,19530,/m/0610rv,Italy,,Water Buffalo,"Water Buffalo milk, cheese, dairy",,,,,,,,,
Caruchon Papillion,19531,/m/04dm3t_,,,,"cheese, dairy",,,,,,,,,
Caravane cheese,19532,/m/08q0nd,Mauritania,,Dromedary,"Dromedary milk, cheese, dairy",,,,Soft,,,,,
Anejo Enchilado cheese,19533,/m/0db_p9,,,,"cheese, dairy",,,,,,,,,
Stilton,19534,/m/01pkxv,England,"Nottinghamshire,Derbyshire,Leicestershire",Cow,"Cow milk, cheese, dairy",,,,semi-soft,,,,,
Idiazabal cheese,19535,/m/01x9m9,Spain,,Domestic sheep,"Domestic sheep milk, cheese, dairy",,,,,,,,,
Veldhuizen Greens Creek Cheese,19536,/m/0ch8y_s,,Dublin,,"cheese, dairy",,,,,,,,,
Kwaito cheese,19537,/m/05plz0,South Africa,,,"cheese, dairy",,,,,,,,,
Tilsit cheese,19538,/m/05p_pc,"Denmark,Switzerland,Germany",,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Sakura cheese,19539,/m/0gv8dq,Japan,,,"cheese, dairy",,,,,,,,,
Ilchester Cheese Company,19540,/m/05w0md,England,,,"cheese, dairy",,,,,,,,,
Obatzda,19541,/m/03vj6r,,,,"cheese, dairy",,,,,,,,,
Edam,19542,/m/0m4tt,Netherlands,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
Requesón,19543,/m/027fzhz,,,Cow,"Cow milk, cheese, dairy",,,,,,,,,
St Pat,19544,/m/02h812v,United States of America,Marin County,Cow,"Cow milk, cheese, dairy",,three weeks,,Soft,,,,,
Little Derby,19545,/m/04g1vwp,,,,"cheese, dairy",,,,,,,,,
